area,month,count
HERITAGE,2022-01,4
HERITAGE,2022-03,1
HERITAGE,2022-06,2
HERITAGE,2022-07,1
HERITAGE,2022-09,5
HERITAGE,2022-11,7
HERITAGE,2023-03,2
HERITAGE,2023-05,3
HERITAGE,2023-06,16
HERITAGE,2023-07,8
HERITAGE,2023-08,1
HERITAGE,2023-09,7
HERITAGE,2023-10,2
HERITAGE,2023-12,4
HERITAGE,2024-01,409
HERITAGE,2024-02,22
HERITAGE,2024-03,1
HERITAGE,2024-04,6
HERITAGE,2024-05,1
HERITAGE,2024-06,32
HERITAGE,2024-07,4
HERITAGE,2024-10,10
HERITAGE,2024-11,3
HERITAGE,2024-12,4
HERITAGE,2025-01,22
HERITAGE,2025-02,1
HERITAGE,2025-04,17
HERITAGE,2025-06,4
HERITAGE,2025-07,4
HERITAGE,2025-08,3
HERITAGE,2025-10,1
HERITAGE,2025-12,7
HERITAGE,2026-01,5
HERITAGE,2026-02,2
LAKEVIEW,2019-12,3
LAKEVIEW,2022-04,1
LAKEVIEW,2025-01,1
MCNAB,2017-07,2
MCNAB,2019-02,1
MCNAB,2019-05,1
MCNAB,2019-12,2
MCNAB,2020-12,1
MCNAB,2021-03,1
MCNAB,2022-06,1
MCNAB,2023-06,1
MCNAB,2024-01,6
MCNAB,2024-06,1
MCNAB,2025-09,1
NORTH CENTRAL,2016-04,4
NORTH CENTRAL,2016-05,5
NORTH CENTRAL,2016-06,14
NORTH CENTRAL,2016-07,4
NORTH CENTRAL,2016-08,3
NORTH CENTRAL,2016-09,11
NORTH CENTRAL,2016-11,1
NORTH CENTRAL,2016-12,1
NORTH CENTRAL,2017-01,11
NORTH CENTRAL,2017-02,3
NORTH CENTRAL,2017-03,7
NORTH CENTRAL,2017-05,2
NORTH CENTRAL,2017-06,6
NORTH CENTRAL,2017-07,5
NORTH CENTRAL,2017-08,17
NORTH CENTRAL,2017-09,6
NORTH CENTRAL,2017-10,2
NORTH CENTRAL,2018-02,6
NORTH CENTRAL,2018-03,2
NORTH CENTRAL,2018-05,4
NORTH CENTRAL,2018-06,2
NORTH CENTRAL,2018-07,2
NORTH CENTRAL,2018-09,6
NORTH CENTRAL,2018-10,3
NORTH CENTRAL,2019-02,1
NORTH CENTRAL,2019-04,7
NORTH CENTRAL,2019-06,1
NORTH CENTRAL,2019-07,6
NORTH CENTRAL,2019-08,2
NORTH CENTRAL,2019-09,1
NORTH CENTRAL,2019-10,4
NORTH CENTRAL,2019-12,4
NORTH CENTRAL,2020-01,4
NORTH CENTRAL,2020-02,13
NORTH CENTRAL,2020-03,4
NORTH CENTRAL,2020-04,4
NORTH CENTRAL,2020-05,5
NORTH CENTRAL,2020-07,1
NORTH CENTRAL,2020-08,2
NORTH CENTRAL,2020-09,2
NORTH CENTRAL,2020-10,3
NORTH CENTRAL,2020-11,1
NORTH CENTRAL,2020-12,1
NORTH CENTRAL,2021-01,5
NORTH CENTRAL,2021-02,3
NORTH CENTRAL,2021-03,17
NORTH CENTRAL,2021-04,15
NORTH CENTRAL,2021-05,2
NORTH CENTRAL,2021-06,4
NORTH CENTRAL,2021-07,2
NORTH CENTRAL,2021-10,1
NORTH CENTRAL,2021-11,5
NORTH CENTRAL,2021-12,1
NORTH CENTRAL,2022-01,3
NORTH CENTRAL,2022-02,2
NORTH CENTRAL,2022-03,2
NORTH CENTRAL,2022-04,2
NORTH CENTRAL,2022-05,3
NORTH CENTRAL,2022-06,4
NORTH CENTRAL,2022-08,7
NORTH CENTRAL,2022-09,6
NORTH CENTRAL,2022-10,3
NORTH CENTRAL,2022-11,1
NORTH CENTRAL,2022-12,7
NORTH CENTRAL,2023-01,2
NORTH CENTRAL,2023-02,1
NORTH CENTRAL,2023-03,2
NORTH CENTRAL,2023-05,4
NORTH CENTRAL,2023-07,16
NORTH CENTRAL,2023-08,1
NORTH CENTRAL,2023-09,6
NORTH CENTRAL,2023-10,11
NORTH CENTRAL,2023-11,4
NORTH CENTRAL,2023-12,2
NORTH CENTRAL,2024-01,300
NORTH CENTRAL,2024-02,47
NORTH CENTRAL,2024-03,5
NORTH CENTRAL,2024-05,9
NORTH CENTRAL,2024-06,9
NORTH CENTRAL,2024-07,6
NORTH CENTRAL,2024-08,3
NORTH CENTRAL,2024-10,1
NORTH CENTRAL,2024-11,5
NORTH CENTRAL,2025-01,47
NORTH CENTRAL,2025-02,2
NORTH CENTRAL,2025-03,3
NORTH CENTRAL,2025-04,4
NORTH CENTRAL,2025-05,2
NORTH CENTRAL,2025-07,2
NORTH CENTRAL,2025-09,1
NORTH CENTRAL,2025-11,9
NORTH CENTRAL,2025-12,4
NORTH CENTRAL,2026-01,32
NORTH CENTRAL,2026-02,6
NORTH CENTRAL,2026-03,1
NORTHEAST,2024-01,2
NORTHEAST,2024-07,1
OLD LAKEVIEW,2016-07,2
OLD LAKEVIEW,2017-01,1
OLD LAKEVIEW,2018-02,2
OLD LAKEVIEW,2018-04,1
OLD LAKEVIEW,2018-05,1
OLD LAKEVIEW,2018-07,2
OLD LAKEVIEW,2018-10,1
OLD LAKEVIEW,2019-02,1
OLD LAKEVIEW,2019-04,1
OLD LAKEVIEW,2019-12,1
OLD LAKEVIEW,2020-01,2
OLD LAKEVIEW,2020-03,1
OLD LAKEVIEW,2020-04,2
OLD LAKEVIEW,2020-06,3
OLD LAKEVIEW,2021-01,1
OLD LAKEVIEW,2021-02,1
OLD LAKEVIEW,2021-05,1
OLD LAKEVIEW,2021-06,1
OLD LAKEVIEW,2021-07,6
OLD LAKEVIEW,2021-08,1
OLD LAKEVIEW,2021-10,1
OLD LAKEVIEW,2022-10,1
OLD LAKEVIEW,2023-04,2
OLD LAKEVIEW,2023-07,3
OLD LAKEVIEW,2023-09,3
OLD LAKEVIEW,2024-01,19
OLD LAKEVIEW,2024-02,4
OLD LAKEVIEW,2024-05,3
OLD LAKEVIEW,2024-06,2
OLD LAKEVIEW,2024-12,1
OLD LAKEVIEW,2025-01,4
OLD LAKEVIEW,2025-05,3
OLD LAKEVIEW,2025-06,1
OLD LAKEVIEW,2025-07,4
ROSEMONT/MOUNT ROYAL,2017-03,1
ROSEMONT/MOUNT ROYAL,2017-11,1
ROSEMONT/MOUNT ROYAL,2018-06,2
ROSEMONT/MOUNT ROYAL,2019-02,4
ROSEMONT/MOUNT ROYAL,2019-04,1
ROSEMONT/MOUNT ROYAL,2020-02,2
ROSEMONT/MOUNT ROYAL,2021-10,3
ROSEMONT/MOUNT ROYAL,2022-01,2
ROSEMONT/MOUNT ROYAL,2022-02,1
ROSEMONT/MOUNT ROYAL,2022-07,1
ROSEMONT/MOUNT ROYAL,2023-06,1
ROSEMONT/MOUNT ROYAL,2023-08,3
