geo_uid,geo_id_code,geo_name,prov_code,geo,regina_filter_tag,population_total,private_dwellings_total,median_after_tax_income_households,lim_at_prevalence_pct,lim_at_children_0_17_count,lim_at_children_0_17_pct,tenure_total,tenure_owner,tenure_renter,indigenous_identity_total,indigenous_identity_count,age_0_14_total,age_0_4_total,age_5_9_total,age_10_14_total,immigrant_count,visible_minority_count,lone_parent_family_count,couples_with_children_count,unemployment_rate_pct,education_no_certificate_25_64,education_bachelor_or_higher_25_64,tenure_owner_pct,tenure_renter_pct,indigenous_identity_pct,children_0_14_pct
2016S05077050100.05,7050100.05,0100.05,47,CT,CT_DGUID_PREFIX_2016S0507705,2440.0,966.0,86930.0,3.5,25.0,4.9,955.0,805.0,145.0,2475.0,210.0,400.0,130.0,140.0,135.0,155.0,220.0,95.0,335.0,2.4,85.0,300.0,84.293194,15.183246,8.484848,16.393443
2016S05077050100.08,7050100.08,0100.08,47,CT,CT_DGUID_PREFIX_2016S0507705,5624.0,2361.0,84082.0,6.4,110.0,10.6,2245.0,1865.0,385.0,5410.0,235.0,850.0,270.0,310.0,270.0,890.0,820.0,215.0,680.0,4.4,110.0,1110.0,83.073497,17.149220,4.343808,15.113798
2016S05077050100.09,7050100.09,0100.09,47,CT,CT_DGUID_PREFIX_2016S0507705,8980.0,3524.0,92369.0,5.1,165.0,7.2,3390.0,2585.0,805.0,8955.0,565.0,1975.0,705.0,725.0,545.0,805.0,850.0,370.0,1325.0,4.3,240.0,1410.0,76.253687,23.746313,6.309324,21.993318
2016S05077050100.10,7050100.10,0100.10,47,CT,CT_DGUID_PREFIX_2016S0507705,6830.0,2441.0,91056.0,4.2,130.0,7.7,2420.0,2250.0,175.0,6895.0,425.0,1390.0,420.0,480.0,490.0,990.0,1040.0,290.0,1025.0,5.2,245.0,1085.0,92.975207,7.231405,6.163887,20.351391
2016S05077050100.11,7050100.11,0100.11,47,CT,CT_DGUID_PREFIX_2016S0507705,3403.0,1425.0,68395.0,13.4,220.0,26.7,1365.0,925.0,440.0,3330.0,415.0,685.0,240.0,240.0,210.0,640.0,620.0,220.0,360.0,7.9,145.0,505.0,67.765568,32.234432,12.462462,20.129298
2016S05077050100.12,7050100.12,0100.12,47,CT,CT_DGUID_PREFIX_2016S0507705,9707.0,3582.0,118451.0,3.9,115.0,4.5,3295.0,2890.0,405.0,9715.0,270.0,2200.0,800.0,750.0,650.0,2180.0,2825.0,205.0,1575.0,3.7,185.0,2770.0,87.708649,12.291351,2.779207,22.664057
2016S05077050100.13,7050100.13,0100.13,47,CT,CT_DGUID_PREFIX_2016S0507705,6734.0,2644.0,102272.0,4.5,95.0,6.0,2490.0,2280.0,210.0,6720.0,190.0,1300.0,290.0,480.0,525.0,1075.0,1300.0,170.0,1005.0,5.4,120.0,1550.0,91.566265,8.433735,2.827381,19.305019
2016S05077050100.14,7050100.14,0100.14,47,CT,CT_DGUID_PREFIX_2016S0507705,1623.0,527.0,93056.0,5.7,15.0,4.4,510.0,455.0,55.0,1400.0,60.0,275.0,95.0,100.0,80.0,40.0,35.0,40.0,220.0,2.9,40.0,195.0,89.215686,10.784314,4.285714,16.943931
2016S05077050101.01,7050101.01,0101.01,47,CT,CT_DGUID_PREFIX_2016S0507705,5284.0,1937.0,96256.0,5.3,105.0,7.9,1885.0,1790.0,90.0,5280.0,140.0,1105.0,355.0,360.0,390.0,210.0,175.0,180.0,825.0,3.6,220.0,475.0,94.960212,4.774536,2.651515,20.912188
2016S05077050101.02,7050101.02,0101.02,47,CT,CT_DGUID_PREFIX_2016S0507705,6440.0,2139.0,126663.0,2.7,60.0,3.2,2070.0,2020.0,50.0,6385.0,210.0,1610.0,475.0,560.0,570.0,300.0,210.0,125.0,1090.0,4.2,160.0,1065.0,97.584541,2.415459,3.288958,25.000000
2016S05077050102.00,7050102.00,0102.00,47,CT,CT_DGUID_PREFIX_2016S0507705,5616.0,2986.0,88704.0,6.1,70.0,6.3,2240.0,1975.0,260.0,5540.0,235.0,915.0,290.0,335.0,295.0,165.0,45.0,170.0,700.0,3.8,160.0,650.0,88.169643,11.607143,4.241877,16.292735
2016S05077050103.00,7050103.00,0103.00,47,CT,CT_DGUID_PREFIX_2016S0507705,1180.0,460.0,83904.0,5.5,20.0,6.8,405.0,385.0,20.0,1095.0,20.0,285.0,95.0,115.0,80.0,15.0,10.0,35.0,150.0,1.5,55.0,80.0,95.061728,4.938272,1.826484,24.152542
2016S05077050104.00,7050104.00,0104.00,47,CT,CT_DGUID_PREFIX_2016S0507705,1232.0,473.0,85248.0,7.1,30.0,11.5,425.0,410.0,15.0,1135.0,60.0,245.0,90.0,80.0,70.0,35.0,10.0,30.0,155.0,5.0,55.0,85.0,96.470588,3.529412,5.286344,19.886364
